estadio,ano,mandante,partidas,vitorias_casa,vitorias_fora,empates
Maracanã,2021,Flamengo,22,15,6,1
Nabizão,2021,Bragantino,25,11,3,11
Arena Castelão,2021,Ceara,25,12,6,7
Estádio Antônio Accioly,2021,Atletico-GO,24,9,2,13
Arena Castelão,2021,Fortaleza,24,14,5,5
Morumbi,2021,Sao Paulo,25,8,5,12
Estádio José Pinheiro Borda,2021,Internacional,25,12,6,7
Estádio Vasco da Gama,2021,Vasco,6,3,2,1
Neo Química Arena,2021,Corinthians,25,13,5,7
Allianz Parque,2021,Palmeiras,24,12,5,7
Estádio Nilton Santos,2021,Fluminense,2,2,0,0
Estádio Joaquim Américo Guimarães,2021,Athletico-PR,24,11,6,7
Estádio Urbano Caldeira,2021,Santos,24,12,5,7
Mineirão,2021,Atletico-MG,24,21,1,2
Estádio da Serrinha,2021,Goias,5,2,2,1
Itaipava Arena Fonte Nova,2021,Bahia,15,7,3,5
Estádio Nacional de Brasília,2021,Flamengo,1,1,0,0
Estádio Vasco da Gama,2021,Fluminense,5,2,0,3
